id,parent_id,title,cited,authors,publishers,snippet,link,link_to_citers
574,15,Estimating animal population density using passive acoustics,481,"TA Marques, L Thomas, SW Martin… "," Biological …, 2013 , Wiley Online Library","Reliable estimation of the size or density of wild animal populations is very important for effective wildlife management, conservation and ecology. Currently, the most widely used …",https://onlinelibrary.wiley.com/doi/abs/10.1111/brv.12001,"https://scholar.google.com/scholar?cites=847550743816339415&as_sdt=2005&sciodt=0,5&hl=en"
575,15,Real-time bioacoustics monitoring and automated species identification,324,"TM Aide, C Corrada","Bravo, M Campos,Cerqueira… , PeerJ, 2013 , peerj.com","Traditionally, animal species diversity and abundance is assessed using a variety of methods that are generally costly, limited in space and time, and most importantly, they …",https://peerj.com/articles/103/?hc_location=ufi,"https://scholar.google.com/scholar?cites=7697437246191621841&as_sdt=2005&sciodt=0,5&hl=en"
576,15,Target classification and localization in habitat monitoring,241,"H Wang, J Elson, L Girod, D Estrin… "," 2003 IEEE International …, 2003 , ieeexplore.ieee.org",We are developing an acoustic habitat-monitoring sensor network that recognizes and locates specific animal calls in real time. We investigate the system requirements of such a …,https://ieeexplore.ieee.org/abstract/document/1202775/,"https://scholar.google.com/scholar?cites=11152837261030549121&as_sdt=2005&sciodt=0,5&hl=en"
577,15,Seasonality of blue and fin whale calls and the influence of sea ice in the Western Antarctic Peninsula,246,"A Širović, JA Hildebrand, SM Wiggins… "," Deep Sea Research …, 2004 , Elsevier",The calling seasonality of blue (Balaenoptera musculus) and fin (B. physalus) whales was assessed using acoustic data recorded on seven autonomous acoustic recording packages …,https://www.sciencedirect.com/science/article/pii/S0967064504001389,"https://scholar.google.com/scholar?cites=6121209860056412198&as_sdt=2005&sciodt=0,5&hl=en"
578,15,The remote environmental assessment laboratory's acoustic library: An archive for studying soundscape ecology,243,"EP Kasten, SH Gage, J Fox, W Joo "," Ecological informatics, 2012 , Elsevier",Acoustic signals constitute a source of information that can be used to measure the spatial and temporal distributions of vocal organisms in ecosystems. Measuring and tracking those …,https://www.sciencedirect.com/science/article/pii/S157495411200088X,"https://scholar.google.com/scholar?cites=11867383650357222336&as_sdt=2005&sciodt=0,5&hl=en"
579,15,Acoustic identification of nine delphinid species in the eastern tropical Pacific Ocean,226,"JN Oswald, J Barlow, TF Norris "," Marine mammal science, 2003 , Wiley Online Library",Acoustic methods may improve the ability to identify cetacean species during shipboard surveys. Whistles were recorded from nine odontocete species in the eastern tropical Pacific …,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1748-7692.2003.tb01090.x,"https://scholar.google.com/scholar?cites=694066217468394142&as_sdt=2005&sciodt=0,5&hl=en"
580,15,Feature-based human motion parameter estimation with radar,200,"P Van Dorp, FCA Groen "," IET Radar, Sonar & Navigation, 2008 , IET",Radar can be an extremely useful sensing technique to observe persons. It perceives persons behind walls or at great distances and in situations where persons have no or poor …,https://digital-library.theiet.org/content/journals/10.1049/iet-rsn_20070086,"https://scholar.google.com/scholar?cites=2275763881712621850&as_sdt=2005&sciodt=0,5&hl=en"
581,18,Review of the quasi-maximum likelihood estimator for polynomial phase signals,32,"I Djurović, M Simeunović "," Digital Signal Processing, 2018 , Elsevier",Several papers have been published recently on the quasi-maximum likelihood (QML) approach for the polynomial phase signals (PPS) parameter estimation. The QML is …,https://www.sciencedirect.com/science/article/pii/S1051200417302208,"https://scholar.google.com/scholar?cites=4076964473369866817&as_sdt=2005&sciodt=0,5&hl=en"
582,15,Listening for large whales in the offshore waters of Alaska,169,"SE Moore, KM Stafford, DK Mellinger… "," BioScience, 2006 , academic.oup.com","In 1999, the first phase of a multiyear program was initiated at the National Oceanic and Atmospheric Administration's National Marine Mammal Laboratory and Pacific Marine …",https://academic.oup.com/bioscience/article-abstract/56/1/49/224827,"https://scholar.google.com/scholar?cites=7652135884547723095&as_sdt=2005&sciodt=0,5&hl=en"
583,18,Reconstruction of sparse signals in impulsive disturbance environments,27,"L Stanković, M Daković, S Vujović "," Circuits, Systems, and Signal …, 2017 , Springer",Sparse signals corrupted by impulsive disturbances are considered. The assumption about disturbances is that they degrade the original signal sparsity. No assumption about their …,https://link.springer.com/article/10.1007/s00034-016-0334-3,"https://scholar.google.com/scholar?cites=11393863195650762733&as_sdt=2005&sciodt=0,5&hl=en"
584,18,Optimizing passive acoustic systems for marine mammal detection and localization: Application to real-time monitoring north Atlantic right whales in Gulf of St …,5,"C Gervaise, Y Simard, F Aulanier, N Roy "," Applied Acoustics, 2021 , Elsevier",This study addresses the problem of determining optimal design of passive acoustic monitoring (PAM) systems for detecting and localizing whale calls in real-time in variable …,https://www.sciencedirect.com/science/article/pii/S0003682X21000426,"https://scholar.google.com/scholar?cites=1871061432533521590&as_sdt=2005&sciodt=0,5&hl=en"
585,18,RANSAC-Based Signal Denoising Using Compressive Sensing,4,"L Stanković, M Brajović, I Stanković, J Lerga… "," Circuits, Systems, and …, 2021 , Springer","In this paper, we present an approach to the reconstruction of signals exhibiting sparsity in a transformation domain, having some heavily disturbed samples. This sparsity-driven signal …",https://link.springer.com/article/10.1007/s00034-021-01654-4,"https://scholar.google.com/scholar?cites=3579837931532881517&as_sdt=2005&sciodt=0,5&hl=en"
586,18,Learning deep models from synthetic data for extracting dolphin whistle contours,4,"P Li, X Liu, KJ Palmer, E Fleishman… "," … Joint Conference on …, 2020 , ieeexplore.ieee.org",We present a learning-based method for extracting whistles of toothed whales (Odontoceti) in hydrophone recordings. Our method represents audio signals as time-frequency …,https://ieeexplore.ieee.org/abstract/document/9206992/,"https://scholar.google.com/scholar?cites=1004128315339232664&as_sdt=2005&sciodt=0,5&hl=en"
587,18,Performance assessment of noise reduction methods applied to underwater acoustic signals,2,"U Moreaud, P Courmontagne… "," OCEANS 2016 MTS …, 2016 , ieeexplore.ieee.org",This paper presents an objective evaluation of state-of-the-art single channel noise reduction algorithms. The evaluation is performed on a representative real data set of …,https://ieeexplore.ieee.org/abstract/document/7761358/,"https://scholar.google.com/scholar?cites=6038061633217519584&as_sdt=2005&sciodt=0,5&hl=en"
588,18,Range-depths tracking of multiple sperm whales over large distances using a two-element vertical array and rhythmic properties of clicks-trains,2,"D Mathias, A Thode, J Straley… "," Workshop: Neural …, 2013 , hal.archives,ouvertes.fr","Sperm whales (Physeter macrocephalus) have followed fishing vessels off the Alaskan coast for decades, in order to remove sablefish ("" depredate"") from longlines. The Southeast …",https://hal.archives-ouvertes.fr/hal-00941496/,"https://scholar.google.com/scholar?cites=9238173201475670914&as_sdt=2005&sciodt=0,5&hl=en"
589,18,Utilisation de warping temporel pour étendre le domaine de fonctionnement d'un procédé d'inversion géoacoustique passive,2,"A Barazzutti, C Gervaise, JI Mars "," Traitement du signal, 2016 , documents.irevues.inist.fr",Cet article introduit de nouveaux outils pour le traitement de signal dans le cadre d'un schéma d'inversion géoacoustique passive s' appuyant sur des modulations de fréquence …,http://documents.irevues.inist.fr/handle/2042/70343,"https://scholar.google.com/scholar?cites=11053790019439336402&as_sdt=2005&sciodt=0,5&hl=en"
590,18,Segmentation temps-fréquence statistique: Analyse de la répartition spatiale des détections sur spectrogramme N fois seuillé,2,"F Dadouchi, C Gervaise, C Ioana… "," … de traitement du …, 2013 , hal.archives,ouvertes.fr","L'estimation de pistes temps-fréquence est classiquement réalisation par association de détections dans le plan temps-fréquence et ainsi se heurte au compromis"" fausse …",https://hal.archives-ouvertes.fr/hal-00877134/,"https://scholar.google.com/scholar?cites=13637677381626772072&as_sdt=2005&sciodt=0,5&hl=en"
591,18,Time warping to improve a geoacoustic inversion scheme Time warping to improve a geoacoustic inversion scheme,,"A Barazzutti, C Gervaise, JI Mars ", iieta.org,This paper presents new tools to improve a geoacoustic inversion scheme relying on the inversion of marine mammals vocalizations recorded on a single hydrophone. This method …,https://www.iieta.org/journals/ts/paper/10.3166/TS.33.53-72,
592,22,Passive geoacoustic inversion with a single hydrophone using broadband ship noise,53,"C Gervaise, BG Kinda, J Bonnel… "," The Journal of the …, 2012 , asa.scitation.org","An inversion scheme is proposed, relying upon the inversion of the noise of a moving ship measured on a single distant hydrophone. The spectrogram of the measurements exhibits …",https://asa.scitation.org/doi/abs/10.1121/1.3672688,"https://scholar.google.com/scholar?cites=12083032599649798217&as_sdt=2005&sciodt=0,5&hl=en"
593,22,On the consideration of motion effects in the computation of impulse response for underwater acoustics inversion,29,"NF Josso, C Ioana, JI Mars, C Gervaise… "," The Journal of the …, 2009 , asa.scitation.org","The estimation of the impulse response (IR) of a propagation channel may be of great interest for a large number of underwater applications: underwater communications, sonar …",https://asa.scitation.org/doi/abs/10.1121/1.3203308,"https://scholar.google.com/scholar?cites=15650484493173464503&as_sdt=2005&sciodt=0,5&hl=en"
594,22,"Source motion detection, estimation, and compensation for underwater acoustics inversion by wideband ambiguity lag-Doppler filtering",27,"NF Josso, C Ioana, JI Mars… "," The Journal of the …, 2010 , asa.scitation.org","Acoustic channel properties in a shallow water environment with moving source and receiver are difficult to investigate. In fact, when the source-receiver relative position …",https://asa.scitation.org/doi/abs/10.1121/1.3504709,"https://scholar.google.com/scholar?cites=4743266823830618790&as_sdt=2005&sciodt=0,5&hl=en"
595,22,"UNISeC: Inspection, separation, and classification of underwater acoustic noise point sources",19,"M Rahmati, D Pompili "," IEEE Journal of Oceanic Engineering, 2017 , ieeexplore.ieee.org","Advancements in oceanic research have resulted in a plethora of activities such as undersea oil/gas exploration, environmental monitoring, sonar-based coastal surveillance …",https://ieeexplore.ieee.org/abstract/document/8013015/,"https://scholar.google.com/scholar?cites=8925266956184274815&as_sdt=2005&sciodt=0,5&hl=en"
596,22,Biologically inspired covert underwater acoustic communication—A review,15,"G Qiao, M Bilal, S Liu, Z Babar, T Ma "," Physical Communication, 2018 , Elsevier","With the increasing demand of military and marine applications, the requirement for covert underwater acoustic communication is drastically increasing recently. Innovative and …",https://www.sciencedirect.com/science/article/pii/S1874490717305608,"https://scholar.google.com/scholar?cites=8577876916887904626&as_sdt=2005&sciodt=0,5&hl=en"
597,22,Sensor networks for sustainable development,11,"M Ilyas, SS Alwakeel, MM Alwakeel, HM Aggoune "," 2014 , api.taylorfrancis.com",The handbook Sensor Networks for Sustainable Development explores the great contribution made by sensor network technologies on sustainable development. The term …,https://api.taylorfrancis.com/content/books/mono/download?identifierName=doi&identifierValue=10.1201/b17124&type=googlepdf,"https://scholar.google.com/scholar?cites=8343449048100466903&as_sdt=2005&sciodt=0,5&hl=en"
598,22,A review of acoustic techniques for habitat mapping,9,P Blondel ," Hydroacoustics, 2008 , yadda.icm.edu.pl","Habitat mapping has become an increasingly important application of remote sensing. Active and passive acoustic techniques have greatly improved in the last decade, and their …",https://yadda.icm.edu.pl/baztech/element/bwmeta1.element.baztech-article-BWMA-0018-0004,"https://scholar.google.com/scholar?cites=754645591681826961&as_sdt=2005&sciodt=0,5&hl=en"
