id,parent_id,title,cited,authors,publishers,snippet,link,link_to_citers
604,71,Classification of the principal cells of the medial nucleus of the trapezoid body,128,"N Kuwabara, JM Zook - Journal of Comparative Neurology, 1991",Wiley Online Library,"Cells in the medial nucleus of the trapezoid body were intracellularly labeled in brainstem tissue slices of two bat and two rodent species. The main cell type found in this nucleus, the …",https://onlinelibrary.wiley.com/doi/abs/10.1002/cne.903140406,"https://scholar.google.com/scholar?cites=4355914685144380715&as_sdt=2005&sciodt=0,5&hl=en"
605,71,The lower brainstem auditory pathways,117,"E Covey, JH Casseday - Hearing by bats, 1995",Springer,"In the auditory system, more than any other sensory modality, extensive processing of incoming signals occurs in the brainstem. In all vertebrates, the auditory pathways below the …",https://link.springer.com/chapter/10.1007/978-1-4612-2556-0_6,"https://scholar.google.com/scholar?cites=2368888195260072304&as_sdt=2005&sciodt=0,5&hl=en"
606,71,Comparative analysis of calcium-binding protein-immunoreactive neuronal populations in the auditory and visual systems of the bottlenose dolphin (Tursiops …,96,"II Glezer, PR Hof, PJ Morgane - Journal of Chemical Neuroanatomy, 1998",Elsevier,"This study compares the distribution of three calcium-binding protein-immunoreactive (CaBP-immunoreactive) neuronal populations (calretinin-, calbindin-and parvalbumin …",https://www.sciencedirect.com/science/article/pii/S0891061898000222,"https://scholar.google.com/scholar?cites=7115935524244114559&as_sdt=2005&sciodt=0,5&hl=en"
607,71,Sonar recognition of targets embedded in sediment,87,"HL Roitblat, WWL Au, PE Nachtigall, R Shizumura… - Neural Networks, 1995",Elsevier,"Dolphins have biological sonar abilities that exceed those of any man-made system in an aquatic environment. One problem of particular importance, and for which only limited …",https://www.sciencedirect.com/science/article/pii/0893608095000526,"https://scholar.google.com/scholar?cites=12879137590055282859&as_sdt=2005&sciodt=0,5&hl=en"
608,71,The columnar region of the ventral nucleus of the lateral lemniscus in the big brown bat (Eptesicus fuscus): synaptic arrangements and structural correlates of …,87,"M Vater, E Covey, JH Casseday - Cell and tissue research, 1997",Springer,Neurons of the columnar region of the ventral nucleus of the lateral lemniscus of Eptesicus fuscus respond with high-precision constant-latency responses to sound onsets and …,https://link.springer.com/article/10.1007/s004410050869,"https://scholar.google.com/scholar?cites=756599681622581150&as_sdt=2005&sciodt=0,5&hl=en"
609,73,Environmental sound classification with dilated convolutions,56,"Y Chen, Q Guo, X Liang, J Wang, Y Qian - Applied Acoustics, 2019",Elsevier,"In sound information retrieval (SIR) area, environmental sound classification (ESC) emerges as a new issue, which aims at classifying environments by analysing the complex features …",https://www.sciencedirect.com/science/article/pii/S0003682X18306121,"https://scholar.google.com/scholar?cites=10992732002987834284&as_sdt=2005&sciodt=0,5&hl=en"
610,73,Classification of underwater acoustical dataset using neural network trained by Chimp Optimization Algorithm,46,"M Khishe, MR Mosavi - Applied Acoustics, 2020",Elsevier,"Due to the variability of the radiated signal of the underwater targets, the classification of the underwater acoustical dataset is a challenging problem in the real world application. In this …",https://www.sciencedirect.com/science/article/pii/S0003682X19305067,"https://scholar.google.com/scholar?cites=159652910265507102&as_sdt=2005&sciodt=0,5&hl=en"
611,73,Domestic cat sound classification using learned features from deep neural nets,36,"YR Pandeya, D Kim, J Lee - Applied Sciences, 2018",mdpi.com,Featured Application Domestic cats are ancient human pet animal that communicate through generating sounds. Automatic animal sound classification creates a better human …,https://www.mdpi.com/352286,"https://scholar.google.com/scholar?cites=16134595372359975620&as_sdt=2005&sciodt=0,5&hl=en"
612,73,Domestic cat sound classification using transfer learning,29,"YR Pandeya, J Lee - International Journal of Fuzzy Logic and Intelligent …, 2018",ijfis.org,The domestic cat or house cats (Felis catus) are an ancient human pet animal that can deliver various alert message to human on environmental changes by its mysterious kinds of …,https://www.ijfis.org/journal/view.html?uid=827&&vmd=Full,"https://scholar.google.com/scholar?cites=18153692473462154024&as_sdt=2005&sciodt=0,5&hl=en"
613,73,Underwater acoustic target recognition: a combination of multi-dimensional fusion features and modified deep neural network,19,"X Wang, A Liu, Y Zhang, F Xue - Remote Sensing, 2019",mdpi.com,A method with a combination of multi-dimensional fusion features and a modified deep neural network (MFF-MDNN) is proposed to recognize underwater acoustic targets in this …,https://www.mdpi.com/514156,"https://scholar.google.com/scholar?cites=2782199160295251259&as_sdt=2005&sciodt=0,5&hl=en"
